student_id,attendance,cgpa,aptitude,communication,projects,internships,coding,study_hours,placement_ready
STU001,57.7,7.76,65.8,90.9,1,0,70.1,4.9,0
STU002,88.9,8.88,71.1,50.6,2,0,86.3,4.1,0
STU003,84.9,8.56,44.7,51.3,4,2,85.4,8.0,1
STU004,78.8,6.81,62.0,92.0,3,1,26.9,6.0,1
STU005,72.3,7.29,71.0,67.4,1,0,81.3,5.2,0
STU006,72.2,9.67,63.5,68.7,0,0,34.7,1.3,0
STU007,94.6,5.96,73.6,65.6,2,0,91.4,5.4,0
STU008,99.4,7.96,69.2,78.5,1,1,62.6,4.4,1
STU009,72.8,6.82,48.8,37.2,2,1,59.4,4.7,0
STU010,75.3,7.8,87.8,87.5,2,1,87.4,3.2,1
STU011,56.7,8.6,85.0,68.5,2,2,97.5,6.9,1
STU012,75.9,5.93,82.3,61.7,2,0,25.0,5.1,0
STU013,56.0,9.07,47.3,75.4,3,2,75.1,5.4,1
STU014,88.9,9.77,64.4,81.8,1,0,69.1,7.7,1
STU015,76.2,5.88,76.8,95.8,3,1,48.0,3.9,1
STU016,52.7,5.98,92.1,38.3,2,0,82.7,1.2,0
STU017,67.7,6.87,52.8,42.9,4,1,85.4,2.1,0
STU018,80.7,8.55,34.9,60.9,1,2,28.4,4.8,0
STU019,73.7,8.9,43.2,81.2,3,0,64.7,6.5,0
STU020,92.5,7.25,59.8,61.9,0,0,50.8,2.8,0
STU021,89.5,7.37,62.7,56.2,2,0,84.7,6.6,1
STU022,97.8,9.45,75.2,61.5,3,1,75.3,7.7,1
STU023,59.5,8.03,70.1,70.0,1,1,66.7,5.0,1
STU024,78.7,5.96,48.5,97.1,1,1,81.9,6.1,1
STU025,82.2,7.78,49.4,89.4,1,0,44.6,1.4,0
STU026,71.9,5.57,36.8,36.5,1,1,68.2,7.6,0
STU027,89.4,8.23,75.8,75.0,4,0,41.2,4.2,1
STU028,93.3,8.57,94.7,60.3,4,0,80.2,4.1,1
STU029,85.4,6.8,97.1,87.0,1,1,48.9,7.3,1
STU030,86.6,6.01,73.3,42.7,1,0,73.6,5.6,1
STU031,79.8,7.1,56.9,50.6,2,0,34.4,4.8,0
STU032,71.0,6.65,40.3,36.5,1,0,44.8,3.2,0
STU033,80.5,9.28,68.7,77.3,4,0,44.9,5.4,1
STU034,52.5,9.9,62.9,98.1,3,1,94.5,7.3,1
STU035,98.9,9.78,46.3,88.9,2,0,51.9,5.5,0
STU036,79.9,6.35,74.0,45.0,3,2,86.0,6.8,1
STU037,90.2,8.38,35.9,59.2,3,0,80.5,8.0,1
STU038,80.0,8.08,96.9,59.7,4,0,73.3,2.1,1
STU039,56.1,8.8,53.4,52.0,0,1,84.0,2.1,0
STU040,98.7,6.35,82.3,35.6,2,0,56.7,6.7,0
STU041,99.0,9.99,42.0,68.6,1,0,37.3,7.2,0
STU042,52.1,7.19,55.8,49.1,1,1,34.5,7.9,0
STU043,94.0,8.77,56.7,75.1,2,0,93.2,1.8,0
STU044,73.9,8.13,35.8,85.6,1,0,48.4,6.3,0
STU045,67.6,7.78,53.2,94.0,3,1,55.2,2.2,1
STU046,68.7,9.04,58.7,87.2,2,0,80.7,5.6,1
STU047,64.8,9.26,52.4,89.7,2,0,72.0,2.6,1
STU048,66.1,7.56,58.1,36.4,3,1,50.3,5.8,0
STU049,95.6,9.31,96.7,78.4,2,0,51.4,3.3,1
STU050,78.8,6.63,53.4,76.9,2,1,60.7,7.2,0
STU051,53.8,6.49,38.5,90.4,1,0,40.7,4.2,0
STU052,85.2,7.93,30.8,41.2,1,0,59.8,5.2,1
STU053,66.9,8.05,79.8,79.3,2,0,45.3,3.9,0
STU054,99.4,9.6,76.1,57.2,2,1,44.2,7.2,1
STU055,53.8,7.71,31.5,87.6,1,1,39.9,2.9,0
STU056,54.6,7.35,34.5,81.9,2,1,82.4,3.1,0
STU057,56.4,7.79,66.6,56.1,1,0,38.6,7.9,0
STU058,97.5,9.42,66.4,59.9,1,1,41.1,4.2,1
STU059,76.4,7.87,66.0,86.5,1,1,61.6,4.9,0
